point_id,obj1_time_diff,obj2_assign_diff,obj3_makespan
0,34585.0,5.0,630.0
1,34585.0,5.0,630.0
2,34585.0,5.0,630.0
3,73409.0,3.0,618.0
4,73409.0,3.0,618.0
5,73409.0,3.0,618.0
6,57522.0,5.0,588.0
7,57522.0,5.0,588.0
8,57522.0,5.0,588.0
9,54994.0,3.0,651.0
10,54994.0,3.0,651.0
11,54994.0,3.0,651.0
12,29646.0,6.0,611.0
13,29646.0,6.0,611.0
14,61877.0,3.0,644.0
15,61877.0,3.0,644.0
16,61877.0,3.0,644.0
17,40858.0,6.0,594.0
18,43933.0,7.0,588.0
19,43933.0,7.0,588.0
20,43933.0,7.0,588.0
21,37548.0,5.0,596.0
22,37548.0,5.0,596.0
23,37548.0,5.0,596.0
24,49870.0,4.0,618.0
25,49870.0,4.0,618.0
26,49870.0,4.0,618.0
27,70126.0,3.0,621.0
28,70126.0,3.0,621.0
29,70126.0,3.0,621.0
30,47714.0,4.0,651.0
31,47714.0,4.0,651.0
32,47714.0,4.0,651.0
