MS,OS,Time Differences,Assignment Differences,Makespan,Optimal Time Differences,Optimal Assignment Differences,Optimal Makespan
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,11-1-9-2-8-0-7-5-3-6-8-3-1-0-9-11-8-7-10-11-5-9-1-10-8-1-9-0-10-5-5,408631.00000,5.00000,1599.00000,392939,5,1553
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-9-5-2-7-9-8-3-1-6-11-10-0-8-8-7-1-9-0-1-11-10-5-0-5-1-9-5-10,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,8-11-9-1-2-8-7-5-3-6-0-11-8-3-9-1-8-7-10-5-0-9-1-10-11-0-9-1-10-5-5,408631.00000,5.00000,1599.00000,392939,5,1553
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-11-3-2-9-9-6-8-7-5-0-3-10-11-9-1-8-7-1-8-0-1-10-11-5-0-5-10-9-1-5,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,8-3-9-11-1-2-7-9-0-10-5-6-1-11-0-8-3-10-9-7-1-10-5-8-8-9-1-5-0-11-5,606851.00000,5.00000,1555.00000,392939,5,1553
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-2-11-7-9-9-8-6-5-0-3-11-10-9-1-8-8-0-7-10-1-11-9-5-0-10-1-5-5-1,304397.00000,7.00000,1485.00000,287111,7,1470
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-9-11-9-7-2-6-8-5-0-3-11-10-1-8-0-8-9-7-10-1-5-11-0-10-1-5-9-5-1,582872.00000,6.00000,1526.00000,325364,6,1475
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-11-3-9-6-2-7-5-9-0-8-11-3-1-10-8-8-9-0-7-10-5-1-11-0-5-10-9-1-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-1-0-0-2-0,9-11-7-1-2-8-0-5-3-6-8-3-9-7-10-1-0-11-8-11-5-9-1-8-10-9-1-10-0-5-5,543198.00000,6.00000,1570.00000,325364,5,1475
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,9-11-7-1-2-8-0-5-7-3-6-8-3-0-9-1-10-11-8-11-5-9-1-8-10-9-1-10-0-5-5,524438.00000,5.00000,1590.00000,392939,5,1553
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-2-0-6-7-9-9-8-3-5-11-10-8-9-8-1-0-7-1-5-11-1-10-9-5-0-5-1-10,288520.00000,8.00000,1445.00000,288520,8,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-5-11-0-9-7-3-9-2-6-8-11-3-10-1-9-8-1-8-7-0-1-11-10-5-9-5-1-0-10-5,288520.00000,8.00000,1445.00000,288520,8,1445
