=== EXPERIMENT 15 STARTED AT 2026-01-13 10:33:52.204759 ===
Population size: 20
Data file: /home/bazzo/Scrivania/fjsp_rescheduling/results_scheduling/schedule_simulation_15.pkl
--------------------------------------------------------------------------------

Jobs: 10
Machines: 7
Ops per job: [3, 2, 3, 3, 3, 3, 3, 3, 3, 3]
Starting NSGA-II.
Population: 20
Crossover rate: 0.8, Mutation rate: 0.1
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |       20 |      2 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |       40 |      4 |  0.000000E+00 |  0.000000E+00 |  0.6666666667 |         ideal
     3 |       60 |      5 |  0.000000E+00 |  0.000000E+00 |  0.2500000000 |         ideal
     4 |       80 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2000000000 |         ideal
     5 |      100 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         ideal
     6 |      120 |      7 |  0.000000E+00 |  0.000000E+00 |  0.6363636364 |         nadir
     7 |      140 |      4 |  0.000000E+00 |  0.000000E+00 |  0.2132179386 |         nadir
     8 |      160 |      4 |  0.000000E+00 |  0.000000E+00 |  0.3333333333 |         ideal
     9 |      180 |      4 |  0.000000E+00 |  0.000000E+00 |  0.0774134791 |         ideal
    10 |      200 |      4 |  0.000000E+00 |  0.000000E+00 |  0.0875224399 |             f
    11 |      220 |      6 |  0.000000E+00 |  0.000000E+00 |  0.1251993013 |             f
    12 |      240 |      4 |  0.000000E+00 |  0.000000E+00 |  0.2500000000 |         ideal
    13 |      260 |      4 |  0.000000E+00 |  0.000000E+00 |  0.2123287671 |         nadir
    14 |      280 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0909090909 |         ideal
    15 |      300 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0756484230 |             f
    16 |      320 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0333343204 |             f
    17 |      340 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1603086155 |         nadir
    18 |      360 |     13 |  0.000000E+00 |  0.000000E+00 |  0.5555555556 |         nadir
    19 |      380 |     12 |  0.000000E+00 |  0.000000E+00 |  1.0021621622 |         nadir
    20 |      400 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1048780488 |         ideal
    21 |      420 |      7 |  0.000000E+00 |  0.000000E+00 |  0.0661116589 |             f
    22 |      440 |      4 |  0.000000E+00 |  0.000000E+00 |  1.2500000000 |         nadir
    23 |      460 |      5 |  0.000000E+00 |  0.000000E+00 |  0.2000000000 |         nadir
    24 |      480 |      6 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         ideal
    25 |      500 |      6 |  0.000000E+00 |  0.000000E+00 |  0.0631567488 |             f
    26 |      520 |      6 |  0.000000E+00 |  0.000000E+00 |  0.2000000000 |         nadir
    27 |      540 |      3 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         ideal
    28 |      560 |      6 |  0.000000E+00 |  0.000000E+00 |  0.1428571429 |         nadir
    29 |      580 |      5 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         nadir
    30 |      600 |      4 |  0.000000E+00 |  0.000000E+00 |  0.3178082192 |         ideal
    31 |      620 |      4 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    32 |      640 |      2 |  0.000000E+00 |  0.000000E+00 |  5.0000000000 |         nadir
    33 |      660 |      2 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    34 |      680 |      2 |  0.000000E+00 |  0.000000E+00 |  0.2327586207 |         ideal
    35 |      700 |      2 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    36 |      720 |      2 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    37 |      740 |      4 |  0.000000E+00 |  0.000000E+00 |  1.0000000000 |         ideal
