=== EXPERIMENT 6 STARTED AT 2026-01-08 18:03:12.794038 ===
Population size: 200
Data file: /home/bazzo/Scrivania/fjsp_rescheduling/results_scheduling/schedule_simulation_6.pkl
--------------------------------------------------------------------------------

Jobs: 15
Machines: 8
Ops per job: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
Starting NSGA-II.
Population: 200
Crossover rate: 0.8, Mutation rate: 0.1
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      200 |      4 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      400 |      8 |  0.000000E+00 |  0.000000E+00 |  0.3750000000 |         ideal
     3 |      600 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0615389217 |             f
     4 |      800 |      4 |  0.000000E+00 |  0.000000E+00 |  0.1973684211 |         ideal
     5 |     1000 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2380952381 |         ideal
     6 |     1200 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0623194239 |         ideal
     7 |     1400 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1428571429 |         ideal
     8 |     1600 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0563380282 |         nadir
     9 |     1800 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2777777778 |         ideal
    10 |     2000 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0067686382 |         ideal
    11 |     2200 |      5 |  0.000000E+00 |  0.000000E+00 |  0.2702702703 |         ideal
    12 |     2400 |      6 |  0.000000E+00 |  0.000000E+00 |  0.0833333333 |         ideal
    13 |     2600 |      3 |  0.000000E+00 |  0.000000E+00 |  0.6272710245 |         ideal
    14 |     2800 |      4 |  0.000000E+00 |  0.000000E+00 |  0.1176470588 |         ideal
    15 |     3000 |      5 |  0.000000E+00 |  0.000000E+00 |  0.4000000000 |         ideal
    16 |     3200 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2173913043 |         ideal
